dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2017-11-10,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,21.12,21.32,19.8,20.17,20.56,20.3,20.56,6705,2195500,44286032.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-13,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,20.44,20.44,19.67,19.92,20.14,20.13,20.14,7766,2407300,47959009.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-14,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,20.27,20.27,19.01,19.52,19.7,19.7,19.75,11700,3743900,73091439.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-16,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,19.64,20.18,19.58,19.97,20.0,20.0,20.03,10616,2806800,56066546.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-17,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,20.19,20.45,19.96,20.2,20.39,20.1,20.39,7259,1772000,35805389.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-21,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,20.38,20.93,20.17,20.69,20.6,20.6,20.65,10208,2763400,57176488.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-22,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,20.56,20.6,19.76,20.07,19.8,19.8,19.82,11414,3061300,61444241.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-23,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,19.86,19.95,19.5,19.62,19.52,19.52,19.63,6809,3539600,69480620.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-24,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,19.42,19.61,19.08,19.35,19.35,19.35,19.41,6360,2033300,39354167.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-27,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,19.19,19.34,18.91,19.11,19.13,19.13,19.23,6415,1613600,30840168.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-28,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,19.33,19.45,18.52,18.76,18.53,18.53,18.6,13912,3947900,74074080.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-29,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.51,18.76,17.76,17.99,18.15,18.11,18.15,19510,7707800,138683587.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,121
2017-11-30,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,18.1,18.1,17.1,17.44,17.51,17.5,17.51,19845,8617500,150308155.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-01,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,17.3,17.75,17.03,17.5,17.74,17.56,17.74,19877,4295500,75206232.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-04,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,17.79,17.92,17.21,17.5,17.49,17.49,17.57,14382,3472500,60794843.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-05,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,17.65,18.06,17.44,17.83,17.82,17.82,17.83,11669,3826100,68246469.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-06,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,17.85,19.04,17.85,18.62,18.89,18.81,18.89,17193,5214800,97105039.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-07,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,18.85,19.28,18.42,18.75,18.71,18.71,18.74,12260,3483900,65345243.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-08,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,18.8,18.8,18.22,18.63,18.78,18.76,18.78,10358,2279700,42472383.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-11,02,SUZB3,10,SUZANO PAPEL,ON  EJ  NM,nan,R$,18.78,18.78,18.33,18.48,18.48,18.46,18.51,10465,2213500,40908208.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-12,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.48,18.56,17.92,18.25,18.45,18.42,18.45,14221,3595900,65648425.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-13,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.45,18.67,17.99,18.23,18.1,18.1,18.11,14422,3989200,72735742.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-14,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.09,18.42,18.01,18.24,18.18,18.18,18.22,11578,3043000,55513387.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-15,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.15,18.51,17.99,18.3,18.27,18.26,18.27,10151,3211700,58802531.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-18,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.19,18.33,18.07,18.21,18.33,18.2,18.33,4469,1424900,25949194.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-19,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.35,18.35,17.82,17.99,17.98,17.97,17.98,6258,2452500,44131058.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-20,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.19,18.55,18.0,18.34,18.5,18.45,18.5,5090,1726400,31676248.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-21,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.55,18.97,18.3,18.71,18.97,18.79,18.97,4767,1422800,26623830.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-22,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.98,18.98,18.42,18.57,18.64,18.62,18.64,5385,1680400,31208364.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-26,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.64,18.64,18.33,18.47,18.48,18.48,18.51,3977,889700,16436447.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-27,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.52,18.52,18.15,18.33,18.52,18.42,18.52,7744,2117400,38821819.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
2017-12-28,02,SUZB3,10,SUZANO PAPEL,ON      NM,nan,R$,18.42,18.69,18.3,18.49,18.69,18.66,18.69,8292,2253200,41679861.0,0.0,0,99991231,1,0.0,BRSUZBACNOR0,122
